lambda2,Var_dP
0.0025000000000000005,2075754.8590560853
0.004235323759133283,2085219.4919081628
0.006425422020660114,2140413.3197055534
0.009070294784580497,2238962.187572114
0.01216994205089443,2396663.074263081
0.015724363819601916,2629227.8720184267
0.01973356009070295,2950118.866246484
0.02419753086419753,3367740.142550513
0.029116276140085665,3882184.610059567
0.03448979591836735,4481995.249924205
0.04031809019904258,5141689.730960779
0.04660115898211137,5821030.767181981
0.053339002267573675,6467063.464932222
0.06053162005542956,7019629.279017273
0.068179012345679,7420297.335672928
0.07628117913832197,7623471.804019542
0.0848381204333585,7607128.995045162
0.09384983623078859,7379761.984798814
0.10331632653061222,6980328.994836583
0.1132375913328294,6469750.637309517
0.12361363063744014,5915558.324051054
0.13444444444444442,5374539.428882364
0.14573003275384225,4879910.482396551
0.15747039556563364,4438230.1682588
0.16966553287981853,4036957.0948485453
0.18231544469639702,3658289.375479761
0.19542013101536904,3291845.737259769
0.20897959183673462,2940007.141590881
0.22299382716049376,2614604.3426992744
0.23746283698664644,2328741.9171371968
0.25238662131519274,2089475.9361459538
0.2677651801461325,1895104.351914087
0.28359851347946585,1737207.341636968
0.29988662131519267,1605021.012051509
0.31662950365331316,1489294.1977120289
0.3338271604938271,1383975.916788615
0.3514795918367347,1285960.6400402037
0.36958679768203573,1194351.9259328556
0.3881487780297304,1110022.709229461
0.40716553287981855,1034544.6616776183
0.42663706223230036,967868.269197884
0.44656336608717556,906818.8817039778
0.46694444444444444,846982.5875381648
0.48778029730410677,786541.0363796181
0.5090709246661628,727580.0804729532
0.5308163265306122,673433.2915753038
0.5530165028974553,625357.3119945378
0.5756714537666918,581898.6071605736
0.5987811791383219,541042.4791289628
0.6223456790123456,502625.0471438469
0.6463649533887628,468040.5009670273
0.6708390022675736,437522.14908988494
0.6957678256487779,409317.1832268773
0.7211514235323759,382327.8771403631
0.7469897959183672,357618.2523504253
0.7732829428067522,336224.97004673816
0.8000308641975308,317346.2023408337
0.8272335600907029,299684.99058589427
0.8548910304862685,282953.7021417927
0.8830032753842277,267199.25992353965
0.9115702947845804,252080.2617404169
0.9405920886873268,237561.17784536883
0.9700686570924665,223923.8371276468
1.0,419026.2245093954
