lambda2,var(|dP/dlambda2|)
2.500000000000000486e-03,2.075754859056085348e+06
4.235323759133283184e-03,2.085219491908162832e+06
6.425422020660114322e-03,2.140413319705553353e+06
9.070294784580497371e-03,2.238962187572114170e+06
1.216994205089443060e-02,2.396663074263080955e+06
1.572436381960191573e-02,2.629227872018426657e+06
1.973356009070294931e-02,2.950118866246484220e+06
2.419753086419753133e-02,3.367740142550513148e+06
2.911627614008566525e-02,3.882184610059566796e+06
3.448979591836735109e-02,4.481995249924205244e+06
4.031809019904258190e-02,5.141689730960778892e+06
4.660115898211136809e-02,5.821030767181981355e+06
5.333900226757367496e-02,6.467063464932221919e+06
6.053162005542955804e-02,7.019629279017273337e+06
6.817901234567899649e-02,7.420297335672928020e+06
7.628117913832196950e-02,7.623471804019542411e+06
8.483812043335850483e-02,7.607128995045161806e+06
9.384983623078858861e-02,7.379761984798814170e+06
1.033163265306122208e-01,6.980328994836582802e+06
1.132375913328294015e-01,6.469750637309516780e+06
1.236136306374401445e-01,5.915558324051054195e+06
1.344444444444444220e-01,5.374539428882364184e+06
1.457300327538422480e-01,4.879910482396551408e+06
1.574703955656336363e-01,4.438230168258800171e+06
1.696655328798185314e-01,4.036957094848545268e+06
1.823154446963970166e-01,3.658289375479761045e+06
1.954201310153690363e-01,3.291845737259768881e+06
2.089795918367346184e-01,2.940007141590881161e+06
2.229938271604937627e-01,2.614604342699274421e+06
2.374628369866464417e-01,2.328741917137196753e+06
2.523866213151927385e-01,2.089475936145953834e+06
2.677651801461324865e-01,1.895104351914087078e+06
2.835985134794658524e-01,1.737207341636968078e+06
2.998866213151926696e-01,1.605021012051508995e+06
3.166295036533131602e-01,1.489294197712028865e+06
3.338271604938271020e-01,1.383975916788615054e+06
3.514795918367347172e-01,1.285960640040203696e+06
3.695867976820357281e-01,1.194351925932855578e+06
3.881487780297304124e-01,1.110022709229460917e+06
4.071655328798185480e-01,1.034544661677618278e+06
4.266370622323003570e-01,9.678682691978840157e+05
4.465633660871755617e-01,9.068188817039778223e+05
4.669444444444444398e-01,8.469825875381648075e+05
4.877802973041067691e-01,7.865410363796181045e+05
5.090709246661627718e-01,7.275800804729531519e+05
5.308163265306121703e-01,6.734332915753037669e+05
5.530165028974552976e-01,6.253573119945378276e+05
5.756714537666918208e-01,5.818986071605735924e+05
5.987811791383218507e-01,5.410424791289628483e+05
6.223456790123456095e-01,5.026250471438469249e+05
6.463649533887627641e-01,4.680405009670273284e+05
6.708390022675736475e-01,4.375221490898849443e+05
6.957678256487779267e-01,4.093171832268772996e+05
7.211514235323759348e-01,3.823278771403630963e+05
7.469897959183672276e-01,3.576182523504252895e+05
7.732829428067522493e-01,3.362249700467381626e+05
8.000308641975307777e-01,3.173462023408337263e+05
8.272335600907029241e-01,2.996849905858942657e+05
8.548910304862684661e-01,2.829537021417926881e+05
8.830032753842277371e-01,2.671992599235396483e+05
9.115702947845804038e-01,2.520802617404168996e+05
9.405920886873267994e-01,2.375611778453688312e+05
9.700686570924664798e-01,2.239238371276468097e+05
1.000000000000000000e+00,4.190262245093954261e+05
