k,Pk
1.381067932004975728e-03,2.308186186363401264e+07
4.143203796014927401e-03,1.023625576369305258e+06
6.905339660024878423e-03,5.041465124781851191e+05
9.667475524034831180e-03,6.846672502894832287e+05
1.242961138804478047e-02,2.399507445825941977e+05
1.519174725205473322e-02,2.314502617596356140e+05
1.795388311606468251e-02,2.548700091273263679e+05
2.071601898007463527e-02,1.560825761735490523e+05
2.347815484408458803e-02,9.640335500109847635e+04
2.624029070809454078e-02,1.794598324155047885e+05
2.900242657210449007e-02,9.042307022581867932e+04
3.176456243611444630e-02,1.396975499840097618e+05
3.452669830012439212e-02,7.985290028547185648e+04
3.728883416413434487e-02,8.125943994571745861e+04
4.005097002814429763e-02,4.926088523376849480e+04
4.281310589215424345e-02,4.888006775012968137e+04
4.557524175616420314e-02,5.263149888597409881e+04
4.833737762017414896e-02,3.273356592230725437e+04
5.109951348418410172e-02,2.705830375681088844e+04
5.386164934819405448e-02,2.844484809846190183e+04
5.662378521220400029e-02,2.399019852225967770e+04
5.938592107621395999e-02,3.045224012419441715e+04
6.214805694022390581e-02,2.229703003051004634e+04
6.491019280423385163e-02,1.740225586594394554e+04
6.767232866824381132e-02,1.808190143630749662e+04
7.043446453225377102e-02,1.522548971224679553e+04
7.319660039626371684e-02,1.751799307753498579e+04
7.595873626027366265e-02,1.148150638373906077e+04
7.872087212428360847e-02,1.153172559531463594e+04
8.148300798829356817e-02,8.965164809016401705e+03
8.424514385230352786e-02,9.262730149893344787e+03
8.700727971631347368e-02,8.415362377012686920e+03
8.976941558032341950e-02,7.421240205965643327e+03
9.253155144433336532e-02,6.792510843910054064e+03
9.529368730834332502e-02,4.596451178254107617e+03
9.805582317235328471e-02,5.996593999916808571e+03
1.008179590363632305e-01,4.530842813691641823e+03
1.035800949003731763e-01,4.328967150126252818e+03
1.063422307643831222e-01,4.115299480647222481e+03
1.091043666283930819e-01,3.413605846388814371e+03
1.118665024924030416e-01,3.243563725041693033e+03
1.146286383564129874e-01,3.007407318188450972e+03
1.173907742204229332e-01,2.702895091338710699e+03
1.201529100844328790e-01,2.815332325983602914e+03
1.229150459484428387e-01,2.686838806911148367e+03
1.256771818124527984e-01,2.002363082922746571e+03
1.284393176764627442e-01,1.732997423691891754e+03
1.312014535404726900e-01,1.813681875010815247e+03
1.339635894044826636e-01,1.542296978230261857e+03
1.367257252684925817e-01,1.488744702329461006e+03
1.394878611325025553e-01,1.313052040761265744e+03
1.422499969965125011e-01,1.240788170003014102e+03
1.450121328605224469e-01,1.197956650482590703e+03
1.477742687245324205e-01,1.149918877383875724e+03
1.505364045885423385e-01,9.120829007212909119e+02
1.532985404525523121e-01,9.489788799243733592e+02
1.560606763165622579e-01,8.046067905928757682e+02
1.588228121805722037e-01,6.981842184470077655e+02
1.615849480445821773e-01,6.174376634563807329e+02
1.643470839085920954e-01,6.440762012490400821e+02
1.671092197726020689e-01,5.388730143468242204e+02
1.698713556366120148e-01,4.992184465589047591e+02
1.726334915006219606e-01,4.915821136110471912e+02
1.753956273646319342e-01,4.373452647195515510e+02
1.781577632286418522e-01,4.477599003866736211e+02
1.809198990926518258e-01,3.862498218646661030e+02
1.836820349566617716e-01,3.335726189142133080e+02
1.864441708206717174e-01,3.097092280843566527e+02
1.892063066846816910e-01,3.182952380791260794e+02
1.919684425486916091e-01,2.439370892939602413e+02
1.947305784127015826e-01,2.548875964978443562e+02
1.974927142767115285e-01,2.265829638488530975e+02
2.002548501407214743e-01,2.171216367029438743e+02
2.030169860047314478e-01,2.129447070408940306e+02
2.057791218687413659e-01,1.997745937743987952e+02
2.085412577327513395e-01,1.659550596562631313e+02
2.113033935967612853e-01,1.558021496924527867e+02
2.140655294607712311e-01,1.478604499146250646e+02
2.168276653247812047e-01,1.173335519435148058e+02
2.195898011887911228e-01,1.061663029954774657e+02
2.223519370528010963e-01,1.174476097799111756e+02
2.251140729168110421e-01,1.066863685130074373e+02
2.278762087808209880e-01,9.805789365849956596e+01
2.306383446448309615e-01,9.300369947762580125e+01
2.334004805088408796e-01,8.998218920580075064e+01
2.361626163728508532e-01,8.482436165108335047e+01
2.389247522368607990e-01,7.071601028488343843e+01
2.416868881008707448e-01,6.178466739945214670e+01
2.444490239648807184e-01,7.235029142642376598e+01
2.472111598288906364e-01,6.464237230528794953e+01
2.499732956929006100e-01,6.084994707077107989e+01
2.527354315569105836e-01,5.168812665869222656e+01
2.554975674209205017e-01,5.545004375032055322e+01
2.582597032849304752e-01,4.952940030187424014e+01
2.610218391489403933e-01,3.989345910630712666e+01
2.637839750129503669e-01,4.282105282751491870e+01
2.665461108769603404e-01,3.902167096192518159e+01
2.693082467409702585e-01,3.542195432448897208e+01
2.720703826049802321e-01,3.061130412254150457e+01
2.748325184689901501e-01,3.448826273010743648e+01
2.775946543330001237e-01,2.813836492635295627e+01
2.803567901970100973e-01,2.833952639174236054e+01
2.831189260610200154e-01,2.665122621871806530e+01
2.858810619250299889e-01,2.437344398006955615e+01
2.886431977890399070e-01,2.286539188332682571e+01
2.914053336530498806e-01,1.991846013668709148e+01
2.941674695170598541e-01,1.999215836785084477e+01
2.969296053810697722e-01,1.978450367932870435e+01
2.996917412450797458e-01,1.631017036834488820e+01
3.024538771090896638e-01,1.762533956237965782e+01
3.052160129730996374e-01,1.508518853216079236e+01
3.079781488371096110e-01,1.553963529929397147e+01
3.107402847011195290e-01,1.311808760523040185e+01
3.135024205651295026e-01,1.365422718764891741e+01
3.162645564291394207e-01,1.095885606865923201e+01
3.190266922931493943e-01,1.219798259572749188e+01
3.217888281571593678e-01,1.156780928077818515e+01
3.245509640211692859e-01,1.058286709863913089e+01
3.273130998851792595e-01,8.717229459213015730e+00
3.300752357491891775e-01,9.020467391426414849e+00
3.328373716131991511e-01,8.578111356214414229e+00
3.355995074772091247e-01,9.447698417250872893e+00
3.383616433412190427e-01,7.605550158544385653e+00
3.411237792052290163e-01,7.000111494858062500e+00
3.438859150692389344e-01,6.873848309847242710e+00
3.466480509332489079e-01,6.367351059361815224e+00
3.494101867972588815e-01,5.590616101327317011e+00
3.521723226612687996e-01,5.398636890770818653e+00
3.549344585252787732e-01,5.342604122199824168e+00
3.576965943892886912e-01,4.868423355243534978e+00
3.604587302532986648e-01,5.308920028142328995e+00
3.632208661173086384e-01,4.334570126666546841e+00
3.659830019813185564e-01,4.407322431222443271e+00
3.687451378453285300e-01,4.379674812384696025e+00
3.715072737093384481e-01,4.110946633317238863e+00
3.742694095733484216e-01,3.705625236495680763e+00
3.770315454373583952e-01,2.982830266769689764e+00
3.797936813013683133e-01,3.194321297514957969e+00
3.825558171653782868e-01,2.922485707271632815e+00
3.853179530293882049e-01,3.067734807588717416e+00
3.880800888933981785e-01,2.950805184737105513e+00
3.908422247574081521e-01,2.805726270740104500e+00
3.936043606214180701e-01,2.714753598860262240e+00
3.963664964854280437e-01,2.424369064740020452e+00
3.991286323494379618e-01,2.218090335290251680e+00
4.018907682134479353e-01,2.128783779794607867e+00
4.046529040774579089e-01,2.156030995070407297e+00
4.074150399414678270e-01,2.060344944511290688e+00
4.101771758054778005e-01,1.991947116686325181e+00
4.129393116694877186e-01,1.716000505378513452e+00
4.157014475334976922e-01,1.771590863278794226e+00
4.184635833975076658e-01,1.760986448407072524e+00
4.212257192615175838e-01,1.741382510452807342e+00
4.239878551255275574e-01,1.495968191475578024e+00
4.267499909895374754e-01,1.558928949988956036e+00
4.295121268535474490e-01,1.370726237299800587e+00
4.322742627175574226e-01,1.404960479593390099e+00
4.350363985815673407e-01,1.272711122205679057e+00
4.377985344455773142e-01,1.258224758412561872e+00
4.405606703095872323e-01,1.162898263222539752e+00
4.433228061735972059e-01,1.093073538797246780e+00
4.460849420376071794e-01,1.122759838476045990e+00
4.488470779016170975e-01,1.004487650791006992e+00
4.516092137656270711e-01,9.417558370327387962e-01
4.543713496296369891e-01,1.047761626470109286e+00
4.571334854936469627e-01,9.044026326158585150e-01
4.598956213576569363e-01,9.064121838186813829e-01
4.626577572216668544e-01,8.591207717408809730e-01
4.654198930856768279e-01,8.462532582628939926e-01
4.681820289496867460e-01,8.124255663428608942e-01
4.709441648136967196e-01,8.374744450265185769e-01
4.737063006777066931e-01,7.836274141657921799e-01
4.764684365417166112e-01,8.024962278987779474e-01
4.792305724057265848e-01,6.789823112110120462e-01
4.819927082697365028e-01,7.220355889346322664e-01
4.847548441337464764e-01,7.111100909404935999e-01
4.875169799977564500e-01,6.451712963186945204e-01
4.902791158617663680e-01,6.244781086187271013e-01
4.930412517257763416e-01,6.532524056391887379e-01
4.958033875897862597e-01,6.119672769897230857e-01
4.985655234537962333e-01,5.089097205094852416e-01
5.013276593178062068e-01,5.904235541004423382e-01
5.040897951818161804e-01,5.464328335168859851e-01
5.068519310458261540e-01,5.286137488529718542e-01
5.096140669098360165e-01,5.013480169675010867e-01
5.123762027738459901e-01,4.923143671304984204e-01
5.151383386378559637e-01,4.614572592663210293e-01
5.179004745018659372e-01,4.645472705335047525e-01
5.206626103658757998e-01,4.269781213185546154e-01
5.234247462298857734e-01,4.459102878195648212e-01
5.261868820938957469e-01,4.454598269807269473e-01
5.289490179579057205e-01,4.331040071309467665e-01
5.317111538219156941e-01,4.259549305913671868e-01
5.344732896859256677e-01,4.207458384603057766e-01
5.372354255499355302e-01,3.951069471095519647e-01
5.399975614139455038e-01,3.722277098161504427e-01
5.427596972779554774e-01,3.617743424871833202e-01
5.455218331419654509e-01,3.608739968588593472e-01
5.482839690059753135e-01,3.689810276763011987e-01
5.510461048699852871e-01,3.680720116735248792e-01
5.538082407339952606e-01,3.144334363466611548e-01
5.565703765980052342e-01,3.502667664901490951e-01
5.593325124620152078e-01,3.210473480333759788e-01
5.620946483260251814e-01,2.872008495243015269e-01
5.648567841900350439e-01,2.595051197036061796e-01
5.676189200540450175e-01,2.321241826279630827e-01
5.703810559180549911e-01,2.242351183754254240e-01
5.731431917820649646e-01,2.350209463674931554e-01
5.759053276460748272e-01,2.456471681099960391e-01
5.786674635100848008e-01,2.228479245425270816e-01
5.814295993740947743e-01,2.042266749554279559e-01
5.841917352381047479e-01,1.782619339395363212e-01
5.869538711021147215e-01,1.871960558280084119e-01
5.897160069661246951e-01,1.873306037586181805e-01
5.924781428301345576e-01,2.029111975553790359e-01
5.952402786941445312e-01,1.605924663498956295e-01
5.980024145581545048e-01,1.843028222909409708e-01
6.007645504221644783e-01,1.522395278334064961e-01
6.035266862861743409e-01,1.669978024210589107e-01
6.062888221501843145e-01,1.792943185994578803e-01
6.090509580141942880e-01,1.666619002542934214e-01
6.118130938782042616e-01,1.542150508089902838e-01
6.145752297422142352e-01,1.533228692072784727e-01
6.173373656062242087e-01,1.413226902253328643e-01
6.200995014702340713e-01,1.407389706024065323e-01
6.228616373342440449e-01,1.588322217590076579e-01
6.256237731982540184e-01,1.592783379518122877e-01
6.283859090622639920e-01,1.348509890200523531e-01
6.311480449262738546e-01,1.410064782800568850e-01
6.339101807902838281e-01,1.283157865852034840e-01
6.366723166542938017e-01,1.102251505479422827e-01
6.394344525183037753e-01,1.388457174046319464e-01
6.421965883823137489e-01,1.191947834852236238e-01
6.449587242463237224e-01,1.352457701681864244e-01
6.477208601103335850e-01,1.328249179149027515e-01
6.504829959743435586e-01,1.210351416591719936e-01
6.532451318383535321e-01,1.659755314617547828e-01
6.560072677023635057e-01,1.288813025792035216e-01
6.587694035663733683e-01,1.070806346826981559e-01
6.615315394303833418e-01,8.712842697564389394e-02
6.642936752943933154e-01,1.256252826231078479e-01
6.670558111584032890e-01,1.318038906419362610e-01
6.698179470224132626e-01,1.225069586872480631e-01
6.725800828864232361e-01,1.102658047797770435e-01
6.753422187504330987e-01,1.010272278056986717e-01
6.781043546144430723e-01,1.312447013210423508e-01
6.808664904784530458e-01,1.283067127625616977e-01
6.836286263424630194e-01,9.786230248109580032e-02
6.863907622064728820e-01,1.040021974812030264e-01
6.891528980704828555e-01,1.236280954623825146e-01
6.919150339344928291e-01,1.256464316033981399e-01
6.946771697985028027e-01,1.025416038238938093e-01
6.974393056625127763e-01,1.082338106577975662e-01
7.002014415265227498e-01,1.111996389486776815e-01
7.029635773905326124e-01,1.342329758731594103e-01
7.057257132545425860e-01,8.831599468688132448e-02
