chi,slope_k_lt_K_phi,slope_K_phi_lt_k_lt_K_i,slope_k_gt_K_i
0.0,-2.7378825924585017,-3.1762844024942156,-3.6666666666666665
0.050505050505050504,-2.7554280129629305,-3.1949943134273577,-3.70174490194011
0.10101010101010102,-2.777974728200377,-3.2094394892782674,-3.7040836277590086
0.15151515151515152,-2.804199346417614,-3.219430456541987,-3.7077093336682894
0.20202020202020202,-2.8326910380785297,-3.224817546606173,-3.712583452688106
0.25252525252525254,-2.862035585285432,-3.2254922360869287,-3.718661143301649
0.30303030303030304,-2.890886025316622,-3.221388753069683,-3.725892610637329
0.3535353535353536,-2.918015785080427,-3.2124856040684686,-3.7342238954771423
0.4040404040404041,-2.94235322204975,-3.198806872250881,-3.743597633605681
0.45454545454545453,-2.9629980214300904,-3.1804231287750304,-3.753953404746282
0.5050505050505051,-2.9792226126739685,-3.1574510587520175,-3.765228085779285
0.5555555555555557,-2.990461434120925,-3.1300522902526815,-3.7773557941720886
0.6060606060606061,-2.996292414347772,-3.098430362731025,-3.790268068654703
0.6565656565656566,-2.996414072828112,-3.0628268373269507,-3.803894102368955
0.7070707070707072,-2.9906215586154823,-3.0235163946174657,-3.8181610200205767
0.7575757575757576,-2.978784189029606,-2.9808017329644327,-3.8329943491180924
0.8080808080808081,-2.9608264485795655,-2.935008458623458,-3.848318893877186
0.8585858585858587,-2.9367134452299397,-2.8864806931195797,-3.864059460678221
0.9090909090909091,-2.9064414364032096,-2.8355776100025354,-3.8801416515879246
0.9595959595959596,-2.8700329840553533,-2.782670539373442,-3.896493064545047
1.0101010101010102,-2.8275370036231466,-2.728141884279908,-3.9130434730483303
1.0606060606060606,-2.7790316875969165,-2.6723838506566837,-3.9297257953021902
1.1111111111111112,-2.7246302307936596,-2.6157977715144485,-3.9464762868617798
1.1616161616161615,-2.6644874404192844,-2.5587932707833607,-3.9632346247421935
1.2121212121212122,-2.598806601603333,-2.501786808026675,-3.979943968948193
1.2626262626262625,-2.5278452670206097,-2.445199239104464,-3.9965508794261755
1.313131313131313,-2.4519186083422584,-2.389451488909409,-4.0130049699084
1.3636363636363635,-2.371401690122245,-2.3349597668827533,-4.029258817528867
1.4141414141414144,-2.286727726065113,-2.2821280472106023,-4.045267718304849
1.4646464646464648,-2.198384411901677,-2.231339727023574,-4.0609897987678805
1.515151515151515,-2.1069078435281283,-2.182948085412449,-4.076385680337075
1.5656565656565655,-2.0128746706086584,-2.137266195907676,-4.0914189942624875
1.6161616161616164,-1.9168921509599026,-2.094556702061845,-4.106056205418352
1.6666666666666667,-1.8195903173562051,-2.055023606297889,-4.120266709202287
1.7171717171717173,-1.7216094779095772,-2.018803911012204,-4.134023271736196
1.7676767676767675,-1.6235937392810003,-1.9859639675061178,-4.147301683698575
1.8181818181818181,-1.5261799540396377,-1.9564966598928513,-4.160081102231245
1.8686868686868687,-1.4299911309822533,-1.930323391443829,-4.172343785738024
1.9191919191919193,-1.3356310248526433,-1.9072989108040699,-4.1840747649534755
1.9696969696969697,-1.2436761603123452,-1.8872183727555378,-4.19526193081756
2.0202020202020203,-1.154673920645122,-1.869827813200723,-4.205895135906947
2.070707070707071,-1.06913604523877,-1.8548350954424218,-4.215966369118377
2.121212121212121,-0.9875378647328913,-1.8419225916920037,-4.225468766126542
2.171717171717172,-0.910313062820595,-1.8307587621637136,-4.234396729566286
2.2222222222222228,-0.8378517532857935,-1.8210096234816875,-4.242745211388383
2.2727272727272725,-0.7704983631631293,-1.8123485360515579,-4.250509590381499
2.3232323232323226,-0.7085467572248989,-1.8044640305189175,-4.2576856989779825
2.373737373737374,-0.6522390473959326,-1.7970662177777026,-4.264269553980523
2.4242424242424243,-0.6017604059261428,-1.7898905181318006,-4.2702576574158435
2.474747474747475,-0.5572373304338528,-1.782700475166785,-4.275647036726989
2.5252525252525246,-0.5187329525329564,-1.7752883018566394,-4.280435560013965
2.575757575757576,-0.48624460128937025,-1.767474572246013,-4.284622221408243
2.6262626262626263,-0.45970148735516225,-1.7591070078957207,-4.288207255276234
2.6767676767676765,-0.4389620714027043,-1.7500583715311766,-4.291192467532758
2.727272727272727,-0.42381400954397297,-1.7402244758406953,-4.293581186561756
